Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Warengruppe,Umsatz
2014-06-21,6.0,15.5125,18,61.0,1,2,691.302129885254
2014-06-22,5.0,15.7,19,,1,2,687.127455430513
2014-06-23,4.0,16.5,17,,1,2,511.714043984716
2014-06-24,7.0,14.3625,7,21.0,1,2,508.608322070437
2014-06-25,0.0,18.4375,10,,1,2,517.169259136224
2014-06-26,6.0,17.575,8,63.0,1,2,583.733870024269
2014-06-27,4.0,20.1625,7,95.0,1,2,595.204307059367
2014-06-28,6.0,16.9625,6,95.0,1,2,861.858616856627
2014-06-29,7.0,17.3125,8,61.0,1,2,770.70069957598
2015-06-20,5.0,17.125,13,,1,2,571.278131371528
2015-06-21,6.0,15.75,6,,1,2,553.599170821681
2015-06-22,5.0,13.5,8,61.0,1,2,412.309330067662
2015-06-23,5.0,16.5,10,21.0,1,2,423.1358501964
2015-06-24,8.0,12.625,14,61.0,1,2,479.943327331225
2015-06-25,6.0,17.125,8,21.0,1,2,484.513720535521
2015-06-26,7.0,19.25,5,61.0,1,2,517.667163948615
2015-06-27,7.0,19.375,16,61.0,1,2,708.700690129254
2015-06-28,2.0,19.875,10,,1,2,686.349904220686
2016-06-18,6.0,18.0,12,21.0,1,2,455.115566690297
2016-06-19,7.0,16.0,14,,1,2,515.510722561944
2016-06-20,4.0,20.875,10,61.0,1,2,414.129888774016
2016-06-21,4.0,19.875,9,,1,2,390.81874030213
2016-06-22,5.0,22.125,9,61.0,1,2,437.625292013129
2016-06-23,5.0,27.875,8,,1,2,444.85642620105
2016-06-24,5.0,24.125,9,,1,2,504.789708077128
2016-06-25,7.0,18.25,14,95.0,1,2,770.940264429072
2016-06-26,5.0,19.25,11,0.0,1,2,673.058408685448
2017-06-17,0.0,20.125,15,0.0,1,2,578.780125724772
2017-06-18,2.0,24.25,9,,1,2,586.165188828483
2017-06-19,1.0,25.375,7,0.0,1,2,382.488175663817
2017-06-20,0.0,20.75,12,0.0,1,2,434.849517951858
2017-06-21,3.0,18.75,10,,1,2,430.906719081176
2017-06-22,3.0,20.25,10,95.0,1,2,418.672448020086
2017-06-23,7.0,17.25,14,61.0,1,2,439.210505371538
2017-06-24,6.0,17.875,19,61.0,1,2,631.28176537999
2017-06-25,7.0,17.25,16,20.0,1,2,577.997897373246
2018-06-16,5.0,21.325,7,95.0,1,2,536.452348266225
2018-06-17,5.0,18.275,12,61.0,1,2,561.16613003467
2018-06-18,7.0,17.6375,9,61.0,1,2,453.773846005242
2018-06-19,3.0,19.2375,16,21.0,1,2,439.387692233904
2018-06-20,3.0,23.65,13,0.0,1,2,438.20673354481
2018-06-21,7.0,11.5625,15,65.0,1,2,425.408065202863
2018-06-22,5.0,15.575,20,61.0,1,2,443.18009337283
2018-06-23,7.0,14.3,18,61.0,1,2,706.424379766017
2018-06-24,6.0,16.2375,10,21.0,1,2,579.887614059894
