Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Warengruppe,Umsatz
2014-06-21,6.0,15.5125,18,61.0,1,1,162.410672754329
2014-06-22,5.0,15.7,19,,1,1,99.6276132843513
2014-06-23,4.0,16.5,17,,1,1,130.997404965594
2014-06-24,7.0,14.3625,7,21.0,1,1,119.068455962972
2014-06-25,0.0,18.4375,10,,1,1,114.248639971521
2014-06-26,6.0,17.575,8,63.0,1,1,139.644833904018
2014-06-27,4.0,20.1625,7,95.0,1,1,149.199619823898
2014-06-28,6.0,16.9625,6,95.0,1,1,234.368963456298
2014-06-29,7.0,17.3125,8,61.0,1,1,99.024824945212
2015-06-20,5.0,17.125,13,,1,1,146.634813820399
2015-06-21,6.0,15.75,6,,1,1,77.1354317914719
2015-06-22,5.0,13.5,8,61.0,1,1,135.938737758693
2015-06-23,5.0,16.5,10,21.0,1,1,122.481453982781
2015-06-24,8.0,12.625,14,61.0,1,1,128.059192073461
2015-06-25,6.0,17.125,8,21.0,1,1,178.518522583761
2015-06-26,7.0,19.25,5,61.0,1,1,148.837350354137
2015-06-27,7.0,19.375,16,61.0,1,1,169.797038127635
2015-06-28,2.0,19.875,10,,1,1,77.928316055467
2016-06-18,6.0,18.0,12,21.0,1,1,178.053503357419
2016-06-19,7.0,16.0,14,,1,1,47.3015501376727
2016-06-20,4.0,20.875,10,61.0,1,1,154.234328655126
2016-06-21,4.0,19.875,9,,1,1,122.723468787436
2016-06-22,5.0,22.125,9,61.0,1,1,98.8851882321757
2016-06-23,5.0,27.875,8,,1,1,159.229870584471
2016-06-24,5.0,24.125,9,,1,1,146.028836187358
2016-06-25,7.0,18.25,14,95.0,1,1,160.675602624552
2016-06-26,5.0,19.25,11,0.0,1,1,70.9661977461169
2017-06-17,0.0,20.125,15,0.0,1,1,152.587185601354
2017-06-18,2.0,24.25,9,,1,1,75.1727854873289
2017-06-19,1.0,25.375,7,0.0,1,1,146.631334543439
2017-06-20,0.0,20.75,12,0.0,1,1,127.815304326711
2017-06-21,3.0,18.75,10,,1,1,120.022105971466
2017-06-22,3.0,20.25,10,95.0,1,1,78.1688619382617
2017-06-23,7.0,17.25,14,61.0,1,1,160.591006007475
2017-06-24,6.0,17.875,19,61.0,1,1,213.304834757744
2017-06-25,7.0,17.25,16,20.0,1,1,69.3531645812572
2018-06-16,5.0,21.325,7,95.0,1,1,165.240825926878
2018-06-17,5.0,18.275,12,61.0,1,1,131.774736746731
2018-06-18,7.0,17.6375,9,61.0,1,1,150.60898110442
2018-06-19,3.0,19.2375,16,21.0,1,1,134.103229549554
2018-06-20,3.0,23.65,13,0.0,1,1,187.760363692391
2018-06-21,7.0,11.5625,15,65.0,1,1,137.380800589863
2018-06-22,5.0,15.575,20,61.0,1,1,173.94005241559
2018-06-23,7.0,14.3,18,61.0,1,1,228.688308197952
2018-06-24,6.0,16.2375,10,21.0,1,1,96.8397776549712
