Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Warengruppe,Umsatz
2014-06-21,6.0,15.5125,18,61.0,1,4,55.3784359085427
2014-06-22,5.0,15.7,19,,1,4,112.87846427577
2014-06-23,4.0,16.5,17,,1,4,89.1125310007438
2014-06-24,7.0,14.3625,7,21.0,1,4,80.6814437485115
2014-06-25,0.0,18.4375,10,,1,4,74.4274080594379
2014-06-26,6.0,17.575,8,63.0,1,4,84.8155438313241
2014-06-27,4.0,20.1625,7,95.0,1,4,65.0878866069292
2014-06-28,6.0,16.9625,6,95.0,1,4,105.33599228222
2014-06-29,7.0,17.3125,8,61.0,1,4,139.687762195994
2015-06-21,6.0,15.75,6,,1,4,79.6238577111724
2015-06-22,5.0,13.5,8,61.0,1,4,95.7934490225752
2015-06-23,5.0,16.5,10,21.0,1,4,59.3399435978971
2015-06-24,8.0,12.625,14,61.0,1,4,136.751450668224
2015-06-25,6.0,17.125,8,21.0,1,4,76.9256449556744
2015-06-26,7.0,19.25,5,61.0,1,4,133.675162322483
2015-06-27,7.0,19.375,16,61.0,1,4,51.4184892058944
2015-06-28,2.0,19.875,10,,1,4,92.6062037819606
2016-06-18,6.0,18.0,12,21.0,1,4,74.0956742931782
2016-06-19,7.0,16.0,14,,1,4,157.876050195996
2016-06-20,4.0,20.875,10,61.0,1,4,80.4346390087438
2016-06-21,4.0,19.875,9,,1,4,75.1865037322638
2016-06-22,5.0,22.125,9,61.0,1,4,46.4521045149254
2016-06-23,5.0,27.875,8,,1,4,77.5616208592352
2016-06-25,7.0,18.25,14,95.0,1,4,80.143148747234
2016-06-26,5.0,19.25,11,0.0,1,4,103.99952080863
2017-06-17,0.0,20.125,15,0.0,1,4,72.512643357311
2017-06-18,2.0,24.25,9,,1,4,71.2599878811923
2017-06-19,1.0,25.375,7,0.0,1,4,66.5031569430632
2017-06-20,0.0,20.75,12,0.0,1,4,59.7710397044917
2017-06-21,3.0,18.75,10,,1,4,74.2881182284261
2017-06-22,3.0,20.25,10,95.0,1,4,93.3756723023931
2017-06-23,7.0,17.25,14,61.0,1,4,79.9477044026905
2017-06-24,6.0,17.875,19,61.0,1,4,62.1562035019027
2017-06-25,7.0,17.25,16,20.0,1,4,94.280904248875
2018-06-16,5.0,21.325,7,95.0,1,4,79.9425697031279
2018-06-17,5.0,18.275,12,61.0,1,4,105.970913596347
2018-06-18,7.0,17.6375,9,61.0,1,4,52.4623142900464
2018-06-19,3.0,19.2375,16,21.0,1,4,47.8861290193053
2018-06-20,3.0,23.65,13,0.0,1,4,68.6435116412585
2018-06-21,7.0,11.5625,15,65.0,1,4,50.3503164926632
2018-06-22,5.0,15.575,20,61.0,1,4,62.6581464475431
2018-06-23,7.0,14.3,18,61.0,1,4,49.884049264678
2018-06-24,6.0,16.2375,10,21.0,1,4,68.6194271147451
